Activity_1-7747           | [001] | 3248.626803  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.626804  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.626937  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.626998  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.626999  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.627108  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.627377  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.627378  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.627505  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.627550  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.627551  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.627686  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.629365  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.629367  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.629474  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.629681  | sched_wakeup    | rcuc/1:30 [98] CPU:001 
Activity_2-7748           | [000] | 3248.629681  | sched_wakeup    | rcuc/0:21 [98] CPU:000 
