
[!] Lettura batch da file: trace_results_app09c_20260318_214345/trace_colonne.txt

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
2375.699016     | [DISPATCH] Task Activity_1 prende la CPU
2375.699136     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 807.915000 ms)
2375.699283     | [DISPATCH] Task Activity_1 prende la CPU
2375.699329     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 807.961000 ms)
2375.699465     | [DISPATCH] Task Activity_1 prende la CPU
2375.699602     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 808.098000 ms)
2375.699743     | [DISPATCH] Task Activity_1 prende la CPU
2375.699811     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 808.166000 ms)
2375.699964     | [DISPATCH] Task Activity_1 prende la CPU
2375.700011     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 808.213000 ms)
2375.700152     | [DISPATCH] Task Activity_1 prende la CPU
2375.700221     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 808.282000 ms)
2375.700356     | [DISPATCH] Task Activity_1 prende la CPU
2375.700402     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 808.328000 ms)
2375.700544     | [DISPATCH] Task Activity_1 prende la CPU
2375.700617     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 808.401000 ms)
2375.700738     | [DISPATCH] Task Activity_1 prende la CPU
2375.701352     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 809.015000 ms)
2375.701506     | [DISPATCH] Task Activity_1 prende la CPU
2375.701553     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 809.062000 ms)
2375.701689     | [DISPATCH] Task Activity_1 prende la CPU
2375.701868     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 809.241000 ms)
2375.701998     | [DISPATCH] Task Activity_1 prende la CPU
2375.702044     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 809.287000 ms)
2375.702179     | [DISPATCH] Task Activity_1 prende la CPU
2375.702404     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 809.512000 ms)
2375.702539     | [DISPATCH] Task Activity_1 prende la CPU
2375.702585     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 809.558000 ms)
2375.702723     | [DISPATCH] Task Activity_1 prende la CPU
2375.702885     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 809.720000 ms)
2375.703020     | [DISPATCH] Task Activity_1 prende la CPU
2375.703066     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 809.766000 ms)
2375.703204     | [DISPATCH] Task Activity_1 prende la CPU
2375.703314     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 809.876000 ms)
2375.703426     | [DISPATCH] Task Activity_1 prende la CPU
2375.703699     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 810.149000 ms)
2375.703835     | [DISPATCH] Task Activity_1 prende la CPU
2375.703881     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 810.195000 ms)
2375.704019     | [DISPATCH] Task Activity_1 prende la CPU
2375.705699     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 811.875000 ms)
2375.705883     | [DISPATCH] Task Activity_1 prende la CPU
2375.706296     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 812.288000 ms)
2375.706456     | [DISPATCH] Task Activity_1 prende la CPU
2375.706502     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 812.334000 ms)
2375.706648     | [DISPATCH] Task Activity_1 prende la CPU
2375.706804     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 812.490000 ms)
2375.706983     | [DISPATCH] Task Activity_1 prende la CPU
2375.707029     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 812.536000 ms)
2375.707176     | [DISPATCH] Task Activity_1 prende la CPU
2375.708302     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 813.662000 ms)
2375.708437     | [DISPATCH] Task Activity_1 prende la CPU
2375.797700     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 902.925000 ms)
2375.797930     | [DISPATCH] Task Activity_1 prende la CPU
2375.809259     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 914.254000 ms)
2375.809371     | [DISPATCH] Task Activity_1 prende la CPU
2375.952603     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1057.486000 ms)
2375.952680     | [DISPATCH] Task Activity_1 prende la CPU
2375.953086     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1057.892000 ms)
2375.953318     | [DISPATCH] Task Activity_1 prende la CPU
2375.953469     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1058.043000 ms)
2375.953746     | [DISPATCH] Task Activity_1 prende la CPU
2375.962648     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1066.945000 ms)
2375.962920     | [DISPATCH] Task Activity_1 prende la CPU
2375.963481     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1067.506000 ms)
2375.963722     | [DISPATCH] Task Activity_1 prende la CPU
2375.993026     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1096.810000 ms)
2375.993255     | [DISPATCH] Task Activity_1 prende la CPU
2376.029469     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1133.024000 ms)
2376.029770     | [DISPATCH] Task Activity_1 prende la CPU
2376.049017     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1152.271000 ms)
2376.049335     | [DISPATCH] Task Activity_1 prende la CPU
2376.103689     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1206.625000 ms)
2376.103705     | [DISPATCH] Task Activity_1 prende la CPU
2376.104737     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1207.657000 ms)
2376.105046     | [DISPATCH] Task Activity_1 prende la CPU
2376.231633     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1334.244000 ms)
2376.231655     | [DISPATCH] Task Activity_1 prende la CPU
2376.232673     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1335.262000 ms)
2376.232710     | [DISPATCH] Task Activity_1 prende la CPU
2376.232726     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1335.278000 ms)
2376.232761     | [DISPATCH] Task Activity_1 prende la CPU
2376.233252     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1335.769000 ms)
2376.233401     | [DISPATCH] Task Activity_1 prende la CPU
2376.234135     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1336.503000 ms)
2376.234368     | [DISPATCH] Task Activity_1 prende la CPU
2376.234455     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1336.590000 ms)
2376.234653     | [DISPATCH] Task Activity_1 prende la CPU
2376.411938     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1513.875000 ms)
2376.412261     | [DISPATCH] Task Activity_1 prende la CPU
2376.412751     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1514.365000 ms)
2376.412981     | [DISPATCH] Task Activity_1 prende la CPU
2376.413616     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1515.000000 ms)
2376.413896     | [DISPATCH] Task Activity_1 prende la CPU
2376.414283     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1515.387000 ms)
2376.414381     | [DISPATCH] Task Activity_1 prende la CPU
