
[!] Stream Eventi Live in esecuzione...

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
---------------------------------------------------------------------------

..............................................................
1002.244299     | [NUOVO PERIODO] Task Activity_1 Inizia [Period=1800 ms, Deadline=1800]

..............................................................
1002.559617     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.559618     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.559759     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.559806     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.559807     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.559916     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.560139     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.560140     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.560268     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.560313     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.560314     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.560476     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.560611     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.560612     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.560746     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.560790     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.560791     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.560926     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.560995     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.560996     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.561135     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.561180     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.561181     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.561355     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.561426     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.561428     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.561582     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.561626     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.561627     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.561776     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.561923     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.561924     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.562051     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.562096     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.562097     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.562282     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.562447     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.562448     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.562577     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.562621     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.562622     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.562790     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.562859     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.562860     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.562995     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.563056     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.563057     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.563184     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.563229     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.563230     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.563381     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.563446     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.563447     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.563574     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.563619     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.563620     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.563797     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.563842     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.563842     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.563953     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.564587     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.564588     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.564715     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.564760     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.564761     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.564905     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.566572     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.566575     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.566693     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.569694     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1002.569697     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1002.570227     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1002.641643     | [FINE LOGICA]   Task Activity_2 completa l'attivita' computazionale.
1002.641688     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.672071     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1002.672072     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1002.672573     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1002.754897     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1002.754899     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1002.754994     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1002.755777     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1002.755778     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1002.756407     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1002.772920     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1002.772922     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1002.773427     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1002.774467     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1002.774468     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1002.774875     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1002.876891     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1002.876892     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1002.877396     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1002.979275     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1002.979278     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1002.979801     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1003.023531     | [FINE LOGICA]   Task Activity_1 completa l'attivita' computazionale.
1003.023538     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1003.044418     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1003.044419     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.

..............................................................
1003.044428     | [NUOVO PERIODO] Task Activity_2 Inizia [Period=800 ms, Deadline=800]
1003.045450     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1003.129358     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1003.376473     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1003.428937     | [FINE LOGICA]   Task Activity_2 completa l'attivita' computazionale.
1003.428945     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1003.844472     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1003.844473     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.

..............................................................
1003.844486     | [NUOVO PERIODO] Task Activity_2 Inizia [Period=800 ms, Deadline=800]
1003.844520     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1003.905509     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1003.983515     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1004.040435     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1004.040437     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1004.040440     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1004.044423     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1004.044424     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.

..............................................................
1004.044436     | [NUOVO PERIODO] Task Activity_1 Inizia [Period=1800 ms, Deadline=1800]
1004.047518     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1004.161526     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1004.186608     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1004.195368     | [FINE LOGICA]   Task Activity_2 completa l'attivita' computazionale.
1004.195374     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1004.196530     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1004.208088     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1004.208091     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1004.208600     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1004.310486     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1004.310489     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1004.311010     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1004.412884     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1004.412886     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1004.413395     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1004.515310     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1004.515312     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1004.515813     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1004.617694     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1004.617697     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1004.618236     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
