
================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
3184.318774     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.318775     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.319020     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.340298     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.340299     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.340538     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.388667     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3184.388668     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.

..............................................................
3184.388677     | [NUOVO PERIODO] Task Activity_2 Inizia [Period=800 ms, Deadline=800]
3184.389915     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3184.390997     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3184.402499     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.402500     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.402737     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.504900     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.504903     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.505206     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.564555     | [FINE LOGICA]   Task Activity_1 completa l'attivita' computazionale.
3184.564564     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.564571     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.564577     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.564582     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.564586     | [SLEEP SCED.]   Task Activity_1 va a riposo. Costo Reale: 889.417000 ms
3184.565978     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3184.863096     | [FINE LOGICA]   Task Activity_2 completa l'attivita' computazionale.
3184.863107     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3184.863112     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3184.863116     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3184.863119     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3184.863123     | [SLEEP SCED.]   Task Activity_2 va a riposo. Costo Reale: 474.455000 ms
3185.188527     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3185.188530     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.

..............................................................
3185.188545     | [NUOVO PERIODO] Task Activity_2 Inizia [Period=800 ms, Deadline=800]
3185.189858     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3185.191801     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3185.218852     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3185.388352     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3185.388353     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.

..............................................................
3185.388361     | [NUOVO PERIODO] Task Activity_1 Inizia [Period=1800 ms, Deadline=1800]
3185.388821     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3185.389351     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3185.426452     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3185.426454     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3185.426503     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3185.528863     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3185.528865     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3185.528913     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3185.556844     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3185.556845     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3185.556880     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3185.557180     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3185.557181     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3185.557220     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3185.565932     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3185.565933     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3185.565983     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3185.631271     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3185.631273     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3185.631339     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3185.690164     | [FINE LOGICA]   Task Activity_2 completa l'attivita' computazionale.
3185.690175     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3185.690182     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3185.690189     | [SLEEP SCED.]   Task Activity_2 va a riposo. Costo Reale: 501.659000 ms
3185.691768     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3185.733654     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3185.733657     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3185.733721     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3185.836055     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3185.836057     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3185.836116     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3185.938455     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3185.938457     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3185.938513     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3185.939392     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3185.939393     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3185.939463     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3185.988394     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3185.988403     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.

..............................................................
3185.988428     | [NUOVO PERIODO] Task Activity_2 Inizia [Period=800 ms, Deadline=800]
3185.988716     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3185.990314     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.040880     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3186.040882     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3186.040929     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3186.143499     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3186.143501     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3186.143555     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3186.245659     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3186.245661     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3186.245725     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3186.285639     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3186.285641     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3186.285709     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3186.327542     | [FINE LOGICA]   Task Activity_1 completa l'attivita' computazionale.
3186.327553     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3186.327564     | [SLEEP SCED.]   Task Activity_1 va a riposo. Costo Reale: 938.442000 ms
3186.327917     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.327920     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
3186.328029     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
3186.328070     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.328071     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
3186.328172     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
3186.328656     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.329893     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.329895     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
3186.329990     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
3186.457765     | [FINE LOGICA]   Task Activity_2 completa l'attivita' computazionale.
3186.457775     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.457780     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.457788     | [SLEEP SCED.]   Task Activity_2 va a riposo. Costo Reale: 469.080000 ms
3186.741213     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3186.741216     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.741217     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3186.741221     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
3186.741234     | [SLEEP SCED.]   Task Activity_1 va a riposo. Costo Reale: 0.017000 ms
3186.741241     | [SLEEP SCED.]   Task Activity_2 va a riposo. Costo Reale: 0.020000 ms
3186.741246     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.741247     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
3186.741251     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.741253     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3186.741261     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3186.741265     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.741272     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3186.741278     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.741285     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3186.741289     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.741293     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3186.741310     | [SLEEP SCED.]   Task Activity_2 va a riposo. Costo Reale: 0.063000 ms
3186.741313     | [SLEEP SCED.]   Task Activity_1 va a riposo. Costo Reale: 0.060000 ms
3186.741333     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.741336     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
3186.741341     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.741343     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3186.741351     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3186.741358     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3186.741385     | [SLEEP SCED.]   Task Activity_1 va a riposo. Costo Reale: 0.042000 ms
3186.741392     | [SLEEP SCED.]   Task Activity_2 va a riposo. Costo Reale: 0.056000 ms

==============================================================

================ RISULTATI COMPUTAZIONALI PER 2 THREAD ================

--- SCHEDA RIASSUNTIVA: Activity_1 ---
PERIODO    | COSTO COMPUTAZIONALE
--------------------------------------------
1          |   889.417000 ms
2          |   938.442000 ms
3          |     0.017000 ms
4          |     0.060000 ms
5          |     0.042000 ms

--- SCHEDA RIASSUNTIVA: Activity_2 ---
PERIODO    | COSTO COMPUTAZIONALE
--------------------------------------------
1          |   146.794000 ms
2          |   474.455000 ms
3          |   501.659000 ms
4          |   469.080000 ms
5          |     0.020000 ms
6          |     0.063000 ms
7          |     0.056000 ms

========================================================================

