kworker/0:3-1038          | [000] | 1354.387156  | sched_switch    | kworker/0:3:1038 [120] I ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.430218  | sched_wakeup    | kworker/0:3:1038 [120] CPU:000 
Activity_1-6709           | [000] | 1354.430222  | sched_switch    | Activity_1:6709 [98] R ==> kworker/0:3:1038 [120] 
kworker/0:3-1038          | [000] | 1354.430235  | sched_switch    | kworker/0:3:1038 [120] I ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.440068  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1354.440072  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1354.440111  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.442029  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1354.442031  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1354.442091  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.447722  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1354.447726  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1354.447767  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.455275  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1354.455278  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1354.455326  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.456179  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1354.456180  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1354.456251  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.456707  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1354.456709  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1354.456738  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.457026  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1354.457027  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1354.457064  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.464613  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
