
[!] Lettura batch da file: trace_results_app09b_20260318_212644/trace_colonne.txt

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
1354.655511     | [DISPATCH] Task Activity_1 prende la CPU
1354.655532     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1129.899 ms)
1354.655559     | [DISPATCH] Task Activity_1 prende la CPU
1354.655632     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1129.972 ms)
1354.655659     | [DISPATCH] Task Activity_1 prende la CPU
1354.655679     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1129.992 ms)
1354.655705     | [DISPATCH] Task Activity_1 prende la CPU
1354.655843     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1130.130 ms)
1354.655880     | [DISPATCH] Task Activity_1 prende la CPU
1354.662590     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1136.840 ms)
1354.662649     | [DISPATCH] Task Activity_1 prende la CPU
1354.662877     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1137.068 ms)
1354.662923     | [DISPATCH] Task Activity_1 prende la CPU
1354.663334     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1137.479 ms)
1354.663422     | [DISPATCH] Task Activity_1 prende la CPU
1354.663437     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1137.494 ms)
1354.663476     | [DISPATCH] Task Activity_1 prende la CPU
1354.663785     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1137.803 ms)
1354.663831     | [DISPATCH] Task Activity_1 prende la CPU
1354.749220     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1223.192 ms)
1354.749296     | [DISPATCH] Task Activity_1 prende la CPU
1354.814082     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1287.978 ms)
1354.814099     | [DISPATCH] Task Activity_1 prende la CPU
1354.851647     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1325.526 ms)
1354.851705     | [DISPATCH] Task Activity_1 prende la CPU
1354.878057     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1351.878 ms)
1354.878072     | [DISPATCH] Task Activity_1 prende la CPU
1354.946173     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1419.979 ms)
1354.946253     | [DISPATCH] Task Activity_1 prende la CPU
1354.954029     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1427.755 ms)
1354.954094     | [DISPATCH] Task Activity_1 prende la CPU
1355.036678     | [WAKEUP]   Task Activity_2 Rilasciato (Inizio Percorso 2)
1355.036683     | [DISPATCH] Task Activity_2 prende la CPU
1355.133966     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1607.627 ms)
1355.133977     | [DISPATCH] Task Activity_1 prende la CPU
1355.158837     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1632.487 ms)
1355.158907     | [DISPATCH] Task Activity_1 prende la CPU
1355.213620     | [SLEEP]    Task Activity_1 ha TERMINATO l'esecuzione! Costo: 1687.200 ms
1355.236528     | [WAKEUP]   Task Activity_1 Rilasciato (Inizio Percorso 2)
1355.236535     | [DISPATCH] Task Activity_1 prende la CPU
1355.261240     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 24.705 ms)
1355.261312     | [DISPATCH] Task Activity_1 prende la CPU
1355.326889     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 90.282 ms)
1355.326900     | [DISPATCH] Task Activity_1 prende la CPU
1355.363642     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 127.024 ms)
1355.363717     | [DISPATCH] Task Activity_1 prende la CPU
1355.380073     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 143.380 ms)
1355.380135     | [DISPATCH] Task Activity_1 prende la CPU
1355.380703     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 143.948 ms)
1355.380739     | [DISPATCH] Task Activity_1 prende la CPU
1355.389863     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 153.072 ms)
1355.389875     | [DISPATCH] Task Activity_1 prende la CPU
1355.433778     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 196.975 ms)
1355.433826     | [DISPATCH] Task Activity_1 prende la CPU
1355.434581     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 197.730 ms)
1355.434617     | [DISPATCH] Task Activity_1 prende la CPU
1355.440854     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 203.967 ms)
1355.440934     | [DISPATCH] Task Activity_1 prende la CPU
1355.441689     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 204.722 ms)
1355.441736     | [DISPATCH] Task Activity_1 prende la CPU
1355.446311     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 209.297 ms)
1355.446354     | [DISPATCH] Task Activity_1 prende la CPU
1355.446391     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 209.334 ms)
1355.446419     | [DISPATCH] Task Activity_1 prende la CPU
1355.466024     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 228.939 ms)
1355.466077     | [DISPATCH] Task Activity_1 prende la CPU
1355.476041     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 238.903 ms)
1355.476077     | [DISPATCH] Task Activity_1 prende la CPU
1355.476479     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 239.305 ms)
1355.476516     | [DISPATCH] Task Activity_1 prende la CPU
1355.568441     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 331.230 ms)
1355.568505     | [DISPATCH] Task Activity_1 prende la CPU
1355.568646     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 331.371 ms)
1355.568716     | [DISPATCH] Task Activity_1 prende la CPU
1355.568967     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 331.622 ms)
1355.569008     | [DISPATCH] Task Activity_1 prende la CPU
1355.569022     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 331.636 ms)
1355.569051     | [DISPATCH] Task Activity_1 prende la CPU
1355.581795     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 344.380 ms)
1355.581809     | [DISPATCH] Task Activity_1 prende la CPU
1355.595308     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 357.879 ms)
1355.595340     | [DISPATCH] Task Activity_1 prende la CPU
1355.597830     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 360.369 ms)
1355.597860     | [DISPATCH] Task Activity_1 prende la CPU
1355.598170     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 360.679 ms)
1355.598207     | [DISPATCH] Task Activity_1 prende la CPU
1355.601479     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 363.951 ms)
1355.601543     | [DISPATCH] Task Activity_1 prende la CPU
1355.602203     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 364.611 ms)
1355.602273     | [DISPATCH] Task Activity_1 prende la CPU
1355.602284     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 364.622 ms)
1355.602322     | [DISPATCH] Task Activity_1 prende la CPU
1355.602650     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 364.950 ms)
1355.602687     | [DISPATCH] Task Activity_1 prende la CPU
1355.604467     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 366.730 ms)
1355.604516     | [DISPATCH] Task Activity_1 prende la CPU
1355.670833     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 433.047 ms)
1355.670890     | [DISPATCH] Task Activity_1 prende la CPU
1355.721934     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 484.091 ms)
1355.721971     | [DISPATCH] Task Activity_1 prende la CPU
1355.723418     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 485.538 ms)
1355.723454     | [DISPATCH] Task Activity_1 prende la CPU
1355.724339     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 486.423 ms)
1355.724404     | [DISPATCH] Task Activity_1 prende la CPU
1355.724585     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 486.604 ms)
1355.724616     | [DISPATCH] Task Activity_1 prende la CPU
