Activity_1-22836          | [000] | 81540.194832 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81540.194834 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81540.195106 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81540.205728 | sched_switch    | Activity_1:22836 [98] R ==> kworker/0:3:18929 [120] 
kworker/0:3-18929         | [000] | 81540.205830 | sched_switch    | kworker/0:3:18929 [120] I ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81540.230515 | sched_wakeup    | kworker/0:3:18929 [120] CPU:000 
Activity_1-22836          | [000] | 81540.230517 | sched_switch    | Activity_1:22836 [98] R ==> kworker/0:3:18929 [120] 
kworker/0:3-18929         | [000] | 81540.230524 | sched_switch    | kworker/0:3:18929 [120] I ==> Activity_1:22836 [98] 
Activity_2-22837          | [001] | 81540.237002 | sched_switch    | Activity_2:22837 [80] R ==> kworker/1:1:14636 [120] 
kworker/1:1-14636         | [001] | 81540.237010 | sched_switch    | kworker/1:1:14636 [120] I ==> Activity_2:22837 [80] 
Activity_1-22836          | [000] | 81540.268452 | sched_switch    | Activity_1:22836 [98] S ==> swapper/0:0 [120] 
Activity_2-22837          | [001] | 81540.287520 | sched_wakeup    | kworker/1:1:14636 [120] CPU:001 
Activity_2-22837          | [001] | 81540.287524 | sched_switch    | Activity_2:22837 [80] R ==> kworker/1:1:14636 [120] 
kworker/1:1-14636         | [001] | 81540.287532 | sched_switch    | kworker/1:1:14636 [120] I ==> Activity_2:22837 [80] 
Activity_2-22837          | [001] | 81540.288514 | sched_wakeup    | kworker/1:1:14636 [120] CPU:001 
Activity_2-22837          | [001] | 81540.288516 | sched_switch    | Activity_2:22837 [80] R ==> kworker/1:1:14636 [120] 
kworker/1:1-14636         | [001] | 81540.288530 | sched_switch    | kworker/1:1:14636 [120] I ==> Activity_2:22837 [80] 
Activity_2-22837          | [001] | 81540.294515 | sched_wakeup    | kworker/1:1:14636 [120] CPU:001 
Activity_2-22837          | [001] | 81540.294516 | sched_switch    | Activity_2:22837 [80] R ==> kworker/1:1:14636 [120] 
kworker/1:1-14636         | [001] | 81540.294520 | sched_switch    | kworker/1:1:14636 [120] I ==> Activity_2:22837 [80] 
Activity_2-22837          | [001] | 81540.422520 | sched_wakeup    | kworker/1:1:14636 [120] CPU:001 
Activity_2-22837          | [001] | 81540.422522 | sched_switch    | Activity_2:22837 [80] R ==> kworker/1:1:14636 [120] 
kworker/1:1-14636         | [001] | 81540.422536 | sched_switch    | kworker/1:1:14636 [120] I ==> Activity_2:22837 [80] 
Activity_2-22837          | [001] | 81540.486519 | sched_wakeup    | kworker/1:1:14636 [120] CPU:001 
Activity_2-22837          | [001] | 81540.486520 | sched_switch    | Activity_2:22837 [80] R ==> kworker/1:1:14636 [120] 
kworker/1:1-14636         | [001] | 81540.486524 | sched_switch    | kworker/1:1:14636 [120] I ==> Activity_2:22837 [80] 
Activity_2-22837          | [001] | 81540.524119 | sched_switch    | Activity_2:22837 [80] S ==> swapper/1:0 [120] 
<idle>-0                  | [001] | 81540.856908 | sched_wakeup    | Activity_2:22837 [80] CPU:001 
<idle>-0                  | [001] | 81540.856926 | sched_switch    | swapper/1:0 [120] R ==> Activity_2:22837 [80] 
Activity_2-22837          | [001] | 81540.870531 | sched_wakeup    | kworker/1:1:14636 [120] CPU:001 
<idle>-0                  | [000] | 81541.056892 | sched_wakeup    | Activity_1:22836 [98] CPU:000 
<idle>-0                  | [000] | 81541.056895 | sched_switch    | swapper/0:0 [120] R ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81541.116461 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81541.116462 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81541.116752 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81541.218966 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81541.218969 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81541.219257 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81541.255532 | sched_wakeup    | kworker/0:3:18929 [120] CPU:000 
Activity_1-22836          | [000] | 81541.323104 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81541.323105 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81541.323382 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_2-22837          | [001] | 81541.355321 | sched_switch    | Activity_2:22837 [80] S ==> kworker/1:1:14636 [120] 
Activity_1-22836          | [000] | 81541.423828 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
