cpus=8
          app10f-25503 [002]  7767.712323: sched_switch:         trace-cmd:25503 [120] D ==> swapper/2:0 [120]
          <idle>-0     [007]  7767.740337: sched_wakeup:         rcu_tasks_trace:67 [120] CPU:007
          <idle>-0     [007]  7767.740338: sched_switch:         swapper/7:0 [120] R ==> rcu_tasks_trace:67 [120]
          <idle>-0     [002]  7767.740339: sched_wakeup:         migration/5:47 [0] CPU:005
       gitkraken-6523  [005]  7767.740342: sched_switch:         gitkraken:6523 [120] R ==> migration/5:47 [0]
          <idle>-0     [002]  7767.740350: sched_switch:         swapper/2:0 [120] R ==> gitkraken:6523 [120]
     migration/5-47    [005]  7767.740354: sched_switch:         migration/5:47 [0] S ==> swapper/5:0 [120]
 rcu_tasks_trace-67    [007]  7767.740355: sched_switch:         rcu_tasks_trace:67 [120] I ==> swapper/7:0 [120]
          <idle>-0     [007]  7767.740391: sched_switch:         swapper/7:0 [120] R ==> git:25509 [120]
             git-25507 [003]  7767.740395: sched_switch:         git:25507 [120] S ==> swapper/3:0 [120]
          <idle>-0     [006]  7767.740406: sched_switch:         swapper/6:0 [120] R ==> gitkraken:25510 [120]
       gitkraken-6523  [002]  7767.740431: sched_switch:         gitkraken:6523 [120] S ==> swapper/2:0 [120]
          <idle>-0     [003]  7767.740535: sched_wakeup:         git:25507 [120] CPU:003
          <idle>-0     [003]  7767.740536: sched_switch:         swapper/3:0 [120] R ==> git:25507 [120]
             git-25507 [003]  7767.740555: sched_switch:         git:25507 [120] S ==> swapper/3:0 [120]
          <idle>-0     [003]  7767.741855: sched_wakeup:         git:25507 [120] CPU:003
          <idle>-0     [003]  7767.741856: sched_switch:         swapper/3:0 [120] R ==> git:25507 [120]
             git-25509 [007]  7767.741863: sched_switch:         git:25509 [120] Z ==> swapper/7:0 [120]
          <idle>-0     [007]  7767.742431: sched_wakeup:         git:25506 [120] CPU:007
          <idle>-0     [007]  7767.742433: sched_switch:         swapper/7:0 [120] R ==> git:25506 [120]
             git-25507 [003]  7767.742439: sched_switch:         git:25507 [120] Z ==> swapper/3:0 [120]
          <idle>-0     [003]  7767.742559: sched_switch:         swapper/3:0 [120] R ==> git:25511 [120]
             git-25506 [007]  7767.742565: sched_switch:         git:25506 [120] S ==> swapper/7:0 [120]
          <idle>-0     [007]  7767.742710: sched_wakeup:         git:25506 [120] CPU:007
          <idle>-0     [007]  7767.742711: sched_switch:         swapper/7:0 [120] R ==> git:25506 [120]
             git-25506 [007]  7767.742732: sched_switch:         git:25506 [120] S ==> swapper/7:0 [120]
          <idle>-0     [002]  7767.743010: sched_wakeup:         gitkraken:6523 [120] CPU:002
          <idle>-0     [002]  7767.743012: sched_switch:         swapper/2:0 [120] R ==> gitkraken:6523 [120]
          <idle>-0     [007]  7767.743288: sched_switch:         swapper/7:0 [120] R ==> git:25512 [120]
          <idle>-0     [004]  7767.743314: sched_switch:         swapper/4:0 [120] R ==> git:25513 [120]
             git-25511 [003]  7767.743318: sched_switch:         git:25511 [120] S ==> swapper/3:0 [120]
          <idle>-0     [003]  7767.743337: sched_wakeup:         rcu_preempt:15 [120] CPU:003
          <idle>-0     [003]  7767.743338: sched_switch:         swapper/3:0 [120] R ==> rcu_preempt:15 [120]
     rcu_preempt-15    [003]  7767.743341: sched_switch:         rcu_preempt:15 [120] I ==> swapper/3:0 [120]
          <idle>-0     [003]  7767.743406: sched_wakeup:         gitkraken:6587 [120] CPU:003
          <idle>-0     [003]  7767.743407: sched_switch:         swapper/3:0 [120] R ==> gitkraken:6587 [120]
       gitkraken-6587  [003]  7767.743417: sched_switch:         gitkraken:6587 [120] S ==> swapper/3:0 [120]
       gitkraken-6523  [002]  7767.743443: sched_switch:         gitkraken:6523 [120] S ==> swapper/2:0 [120]
          <idle>-0     [003]  7767.743642: sched_wakeup:         gitkraken:6587 [120] CPU:003
          <idle>-0     [003]  7767.743643: sched_switch:         swapper/3:0 [120] R ==> gitkraken:6587 [120]
       gitkraken-6587  [003]  7767.743656: sched_switch:         gitkraken:6587 [120] S ==> swapper/3:0 [120]
          <idle>-0     [002]  7767.743656: sched_wakeup:         gitkraken:6523 [120] CPU:002
          <idle>-0     [002]  7767.743658: sched_switch:         swapper/2:0 [120] R ==> gitkraken:6523 [120]
          <idle>-0     [005]  7767.743717: sched_wakeup:         gnome-shell:2882 [120] CPU:005
          <idle>-0     [005]  7767.743719: sched_switch:         swapper/5:0 [120] R ==> gnome-shell:2882 [120]
          <idle>-0     [003]  7767.743763: sched_wakeup:         gitkraken:6587 [120] CPU:003
          <idle>-0     [003]  7767.743763: sched_switch:         swapper/3:0 [120] R ==> gitkraken:6587 [120]
       gitkraken-6587  [003]  7767.743768: sched_switch:         gitkraken:6587 [120] S ==> swapper/3:0 [120]
             git-25510 [006]  7767.743770: sched_switch:         git:25510 [120] Z ==> swapper/6:0 [120]
          <idle>-0     [006]  7767.743813: sched_wakeup:         WaylandProxy:3990 [120] CPU:006
          <idle>-0     [006]  7767.743814: sched_switch:         swapper/6:0 [120] R ==> WaylandProxy:3990 [120]
     gnome-shell-2882  [005]  7767.743825: sched_switch:         gnome-shell:2882 [120] S ==> swapper/5:0 [120]
          <idle>-0     [005]  7767.743849: sched_wakeup:         firefox:3893 [120] CPU:005
          <idle>-0     [005]  7767.743850: sched_switch:         swapper/5:0 [120] R ==> firefox:3893 [120]
    WaylandProxy-3990  [006]  7767.743853: sched_switch:         WaylandProxy:3990 [120] S ==> swapper/6:0 [120]
          <idle>-0     [006]  7767.743912: sched_wakeup:         IPC I/O Child:4938 [120] CPU:006
          <idle>-0     [006]  7767.743913: sched_switch:         swapper/6:0 [120] R ==> IPC I/O Child:4938 [120]
         firefox-3893  [005]  7767.743921: sched_wakeup:         WaylandProxy:3990 [120] CPU:005
         firefox-3893  [005]  7767.743927: sched_switch:         firefox:3893 [120] S ==> WaylandProxy:3990 [120]
          <idle>-0     [003]  7767.743937: sched_wakeup:         gnome-shell:2882 [120] CPU:003
          <idle>-0     [003]  7767.743937: sched_switch:         swapper/3:0 [120] R ==> gnome-shell:2882 [120]
    WaylandProxy-3990  [005]  7767.743942: sched_switch:         WaylandProxy:3990 [120] S ==> swapper/5:0 [120]
   IPC I/O Child-4938  [006]  7767.743942: sched_wakeup:         Isolated Web Co:4930 [120] CPU:006
   IPC I/O Child-4938  [006]  7767.743948: sched_switch:         IPC I/O Child:4938 [120] S ==> Isolated Web Co:4930 [120]
 Isolated Web Co-4930  [006]  7767.744024: sched_switch:         Isolated Web Co:4930 [120] S ==> swapper/6:0 [120]
