
[!] In attesa dello stream /sys/kernel/debug/tracing/trace_pipe...

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
2232.391204     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 962.853000 ms)
2232.391361     | [DISPATCH] Task Activity_1 prende la CPU
2232.391473     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 962.965000 ms)
2232.391631     | [DISPATCH] Task Activity_1 prende la CPU
2232.391678     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 963.012000 ms)
2232.391845     | [DISPATCH] Task Activity_1 prende la CPU
2232.392038     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 963.205000 ms)
2232.392177     | [DISPATCH] Task Activity_1 prende la CPU
2232.392227     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 963.255000 ms)
2232.392395     | [DISPATCH] Task Activity_1 prende la CPU
2232.392460     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 963.320000 ms)
2232.392600     | [DISPATCH] Task Activity_1 prende la CPU
2232.392647     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 963.367000 ms)
2232.392825     | [DISPATCH] Task Activity_1 prende la CPU
2232.392894     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 963.436000 ms)
2232.393043     | [DISPATCH] Task Activity_1 prende la CPU
2232.393090     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 963.483000 ms)
2232.393250     | [DISPATCH] Task Activity_1 prende la CPU
2232.393412     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 963.645000 ms)
2232.393557     | [DISPATCH] Task Activity_1 prende la CPU
2232.393791     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 963.879000 ms)
2232.393936     | [DISPATCH] Task Activity_1 prende la CPU
2232.394056     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 963.999000 ms)
2232.394202     | [DISPATCH] Task Activity_1 prende la CPU
2232.394248     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 964.045000 ms)
2232.394410     | [DISPATCH] Task Activity_1 prende la CPU
2232.394485     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 964.120000 ms)
2232.394662     | [DISPATCH] Task Activity_1 prende la CPU
2232.394850     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 964.308000 ms)
2232.394987     | [DISPATCH] Task Activity_1 prende la CPU
2232.395036     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 964.357000 ms)
2232.395213     | [DISPATCH] Task Activity_1 prende la CPU
2232.395261     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 964.405000 ms)
2232.395436     | [DISPATCH] Task Activity_1 prende la CPU
2232.395484     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 964.453000 ms)
2232.395646     | [DISPATCH] Task Activity_1 prende la CPU
2232.395717     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 964.524000 ms)
2232.395836     | [DISPATCH] Task Activity_1 prende la CPU
2232.396100     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 964.788000 ms)
2232.396247     | [DISPATCH] Task Activity_1 prende la CPU
2232.396295     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 964.836000 ms)
